"Month Name","Agency","Description","Borough","# of Incidents","Response Times"
"2023 / 02","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Manhattan","326","46.63"
"2023 / 02","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Manhattan","326","51.23"
"2023 / 02","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Manhattan","326","2.15"
"2023 / 02","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Manhattan","326","0.00"
"2023 / 02","FDNY","Average response time to structural fires","Queens","182","326.11"
"2023 / 02","FDNY","Average response time to non-structural fires","Queens","125","397.00"
"2023 / 02","FDNY","Average response time to non-fire emergencies","Queens","4,880","643.25"
"2023 / 02","FDNY","Average response time to life threatening medical emergencies by fire units","Queens","2,337","555.83"
"2023 / 02","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Queens","307","37.13"
"2023 / 02","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Queens","307","59.93"
"2023 / 02","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Queens","307","2.61"
"2023 / 02","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Queens","307","0.33"
"2023 / 02","FDNY","Average response time to structural fires","Staten Island","33","306.82"
"2023 / 02","FDNY","Average response time to non-structural fires","Staten Island","30","365.50"
"2023 / 02","FDNY","Average response time to non-fire emergencies","Staten Island","1,198","544.88"
"2023 / 02","FDNY","Average response time to life threatening medical emergencies by fire units","Staten Island","671","514.47"
"2023 / 02","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Staten Island","63","53.97"
"2023 / 02","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Staten Island","63","42.86"
"2023 / 02","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Staten Island","63","4.76"
"2023 / 02","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Staten Island","63","0.00"
"2023 / 02","FDNY","Average response time to structural fires","Unspecified","2","313.00"
"2023 / 02","FDNY","Average response time to non-structural fires","Unspecified","1","551.00"
"2023 / 02","FDNY","Average response time to non-fire emergencies","Unspecified","25","759.40"
"2023 / 02","FDNY","Average response time to life threatening medical emergencies by fire units","Unspecified","5","838.83"
"2023 / 02","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Unspecified","3","33.33"
"2023 / 02","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Unspecified","3","66.67"
"2023 / 02","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Unspecified","3","0.00"
"2023 / 02","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Unspecified","3","0.00"
"2023 / 01","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Brooklyn","15,275","574.48"
"2023 / 01","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Bronx","12,504","642.43"
"2023 / 01","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Manhattan","12,361","607.30"
"2023 / 01","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Queens","11,191","598.80"
"2023 / 01","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Staten Island","2,806","546.57"
"2023 / 01","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Unspecified","60","788.97"
"2023 / 01","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Brooklyn","787","513.61"
"2023 / 01","EMS","Average response time to life threatening medical emergencies by ambulance units","Brooklyn","14,044","616.80"
"2023 / 01","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Brooklyn","30,565","759.65"
"2023 / 01","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Brooklyn","7,835","44.49"
"2023 / 01","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Bronx","610","530.58"
"2023 / 01","EMS","Average response time to life threatening medical emergencies by ambulance units","Bronx","11,072","646.30"
"2023 / 01","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Bronx","26,757","785.59"
"2023 / 01","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Bronx","6,184","34.77"
"2023 / 01","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Manhattan","521","483.71"
"2023 / 01","EMS","Average response time to life threatening medical emergencies by ambulance units","Manhattan","11,098","620.10"
"2023 / 01","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Manhattan","25,130","840.46"
"2023 / 01","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Manhattan","6,270","50.13"
"2023 / 01","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Queens","559","554.96"
"2023 / 01","EMS","Average response time to life threatening medical emergencies by ambulance units","Queens","9,859","654.92"
"2023 / 01","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Queens","22,826","761.09"
"2023 / 01","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Queens","5,232","33.30"
"2023 / 01","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Staten Island","172","488.18"
"2023 / 01","EMS","Average response time to life threatening medical emergencies by ambulance units","Staten Island","2,598","595.77"
"2023 / 01","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Staten Island","5,133","682.37"
"2023 / 01","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Staten Island","1,450","52.41"
"2023 / 01","EMS","Average response time to life threatening medical emergencies by ambulance units","Unspecified","31","797.71"
"2023 / 01","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Unspecified","144","1,096.33"
"2023 / 01","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Unspecified","18","22.22"
"2023 / 01","FDNY","Average response time to structural fires","Brooklyn","375","266.62"
"2023 / 01","FDNY","Average response time to non-structural fires","Brooklyn","215","350.60"
"2023 / 01","FDNY","Average response time to non-fire emergencies","Brooklyn","9,036","557.37"
"2023 / 01","FDNY","Average response time to life threatening medical emergencies by fire units","Brooklyn","4,713","508.67"
"2023 / 01","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Brooklyn","590","63.90"
"2023 / 01","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Brooklyn","590","33.22"
"2023 / 01","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Brooklyn","590","2.54"
"2023 / 01","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Brooklyn","590","0.34"
"2023 / 01","FDNY","Average response time to structural fires","Bronx","354","320.45"
"2023 / 01","FDNY","Average response time to non-structural fires","Bronx","131","420.06"
"2023 / 01","FDNY","Average response time to non-fire emergencies","Bronx","6,140","716.23"
"2023 / 01","FDNY","Average response time to life threatening medical emergencies by fire units","Bronx","2,388","647.15"
"2023 / 01","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Bronx","485","36.91"
"2023 / 01","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Bronx","485","60.41"
"2023 / 01","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Bronx","485","2.47"
"2023 / 01","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Bronx","485","0.21"
"2023 / 01","FDNY","Average response time to structural fires","Manhattan","334","300.68"
"2023 / 01","FDNY","Average response time to non-structural fires","Manhattan","168","359.02"
"2023 / 01","FDNY","Average response time to non-fire emergencies","Manhattan","6,188","618.80"
"2023 / 01","FDNY","Average response time to life threatening medical emergencies by fire units","Manhattan","2,531","612.08"
"2023 / 01","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Manhattan","502","45.22"
"2023 / 01","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Manhattan","502","53.98"
"2023 / 01","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Manhattan","502","0.80"
"2023 / 01","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Manhattan","502","0.00"
"2023 / 01","FDNY","Average response time to structural fires","Queens","235","299.29"
"2023 / 01","FDNY","Average response time to non-structural fires","Queens","190","375.50"
"2023 / 01","FDNY","Average response time to non-fire emergencies","Queens","6,023","606.96"
"2023 / 01","FDNY","Average response time to life threatening medical emergencies by fire units","Queens","3,067","554.46"
"2023 / 01","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Queens","425","42.82"
"2023 / 01","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Queens","425","54.35"
"2023 / 01","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Queens","425","2.59"
"2023 / 01","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Queens","425","0.24"
"2023 / 01","FDNY","Average response time to structural fires","Staten Island","59","323.85"
"2023 / 01","FDNY","Average response time to non-structural fires","Staten Island","31","386.23"
"2023 / 01","FDNY","Average response time to non-fire emergencies","Staten Island","1,650","566.07"
"2023 / 01","FDNY","Average response time to life threatening medical emergencies by fire units","Staten Island","959","497.68"
"2023 / 01","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Staten Island","90","40.00"
"2023 / 01","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Staten Island","90","56.67"
"2023 / 01","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Staten Island","90","3.33"
"2023 / 01","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Staten Island","90","0.00"
"2023 / 01","FDNY","Average response time to non-structural fires","Unspecified","2","534.00"
"2023 / 01","FDNY","Average response time to non-fire emergencies","Unspecified","73","1,023.88"
"2023 / 01","FDNY","Average response time to life threatening medical emergencies by fire units","Unspecified","10","667.40"
"2023 / 01","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Unspecified","2","0.00"
"2023 / 01","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Unspecified","2","100.00"
"2023 / 01","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Unspecified","2","0.00"
"2023 / 01","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Unspecified","2","0.00"
"2022 / 12","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Brooklyn","14,298","617.89"
"2022 / 12","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Bronx","11,957","721.89"
"2022 / 12","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Manhattan","11,767","667.68"
"2022 / 12","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Queens","10,560","653.91"
"2022 / 12","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Staten Island","2,493","562.66"
"2022 / 12","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Unspecified","32","793.94"
"2022 / 12","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Brooklyn","759","570.06"
"2022 / 12","EMS","Average response time to life threatening medical emergencies by ambulance units","Brooklyn","13,137","657.95"
"2022 / 12","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Brooklyn","28,550","856.38"
"2022 / 12","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Brooklyn","6,997","37.76"
"2022 / 12","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Bronx","552","591.34"
"2022 / 12","EMS","Average response time to life threatening medical emergencies by ambulance units","Bronx","10,572","733.49"
"2022 / 12","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Bronx","25,462","994.02"
"2022 / 12","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Bronx","5,368","25.97"
"2022 / 12","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Manhattan","480","569.96"
"2022 / 12","EMS","Average response time to life threatening medical emergencies by ambulance units","Manhattan","10,588","688.03"
"2022 / 12","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Manhattan","23,631","991.74"
"2022 / 12","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Manhattan","5,454","44.63"
"2022 / 12","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Queens","652","602.10"
"2022 / 12","EMS","Average response time to life threatening medical emergencies by ambulance units","Queens","9,366","707.78"
"2022 / 12","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Queens","21,879","852.28"
"2022 / 12","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Queens","4,711","27.62"
"2022 / 12","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Staten Island","162","526.97"
"2022 / 12","EMS","Average response time to life threatening medical emergencies by ambulance units","Staten Island","2,319","624.70"
"2022 / 12","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Staten Island","4,647","727.06"
"2022 / 12","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Staten Island","1,236","44.74"
"2022 / 12","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Unspecified","2","763.00"
"2022 / 12","EMS","Average response time to life threatening medical emergencies by ambulance units","Unspecified","22","916.27"
"2022 / 12","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Unspecified","95","1,131.28"
"2022 / 12","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Unspecified","8","12.50"
"2022 / 12","FDNY","Average response time to structural fires","Brooklyn","378","277.61"
"2022 / 12","FDNY","Average response time to non-structural fires","Brooklyn","197","332.44"
"2022 / 12","FDNY","Average response time to non-fire emergencies","Brooklyn","9,146","601.00"
"2022 / 12","FDNY","Average response time to life threatening medical emergencies by fire units","Brooklyn","4,288","549.34"
"2022 / 12","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Brooklyn","575","66.43"
"2022 / 12","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Brooklyn","575","31.83"
"2022 / 12","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Brooklyn","575","1.22"
"2022 / 12","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Brooklyn","575","0.52"
"2022 / 12","FDNY","Average response time to structural fires","Bronx","326","383.70"
"2022 / 12","FDNY","Average response time to non-structural fires","Bronx","114","403.18"
"2022 / 12","FDNY","Average response time to non-fire emergencies","Bronx","6,427","746.21"
"2022 / 12","FDNY","Average response time to life threatening medical emergencies by fire units","Bronx","2,427","703.01"
"2022 / 12","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Bronx","440","33.64"
"2022 / 12","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Bronx","440","62.27"
"2022 / 12","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Bronx","440","2.73"
"2022 / 12","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Bronx","440","1.36"
"2022 / 12","FDNY","Average response time to structural fires","Manhattan","239","305.28"
"2022 / 12","FDNY","Average response time to non-structural fires","Manhattan","158","468.94"
"2022 / 12","FDNY","Average response time to non-fire emergencies","Manhattan","6,296","654.20"
"2022 / 12","FDNY","Average response time to life threatening medical emergencies by fire units","Manhattan","2,548","650.16"
"2022 / 12","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Manhattan","397","38.79"
"2022 / 12","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Manhattan","397","58.44"
"2022 / 12","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Manhattan","397","2.27"
"2022 / 12","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Manhattan","397","0.76"
"2022 / 12","FDNY","Average response time to structural fires","Queens","238","313.25"
"2022 / 12","FDNY","Average response time to non-structural fires","Queens","163","383.82"
"2022 / 12","FDNY","Average response time to non-fire emergencies","Queens","6,429","684.92"
"2022 / 12","FDNY","Average response time to life threatening medical emergencies by fire units","Queens","3,100","594.40"
"2022 / 12","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Queens","401","43.39"
"2022 / 12","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Queens","401","53.12"
"2022 / 12","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Queens","401","2.99"
"2022 / 12","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Queens","401","0.50"
"2022 / 12","FDNY","Average response time to structural fires","Staten Island","43","310.58"
"2022 / 12","FDNY","Average response time to non-structural fires","Staten Island","23","342.22"
"2022 / 12","FDNY","Average response time to non-fire emergencies","Staten Island","1,616","564.85"
"2022 / 12","FDNY","Average response time to life threatening medical emergencies by fire units","Staten Island","861","508.59"
"2022 / 12","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Staten Island","66","50.00"
"2022 / 12","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Staten Island","66","48.48"
"2022 / 12","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Staten Island","66","1.52"
"2022 / 12","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Staten Island","66","0.00"
"2022 / 12","FDNY","Average response time to structural fires","Unspecified","1","408.00"
"2022 / 12","FDNY","Average response time to non-fire emergencies","Unspecified","30","840.47"
"2022 / 12","FDNY","Average response time to life threatening medical emergencies by fire units","Unspecified","5","1,073.00"
"2022 / 12","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Unspecified","1","0.00"
"2022 / 12","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Unspecified","1","100.00"
"2022 / 12","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Unspecified","1","0.00"
"2022 / 12","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Unspecified","1","0.00"
"2022 / 11","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Brooklyn","14,123","591.66"
"2022 / 11","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Bronx","11,374","661.97"
"2022 / 11","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Manhattan","11,239","637.04"
"2022 / 11","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Queens","10,183","613.92"
"2022 / 11","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Staten Island","2,318","554.75"
"2022 / 11","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Unspecified","39","777.18"
"2022 / 11","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Brooklyn","664","523.94"
"2022 / 11","EMS","Average response time to life threatening medical emergencies by ambulance units","Brooklyn","12,949","638.11"
"2022 / 11","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Brooklyn","27,850","791.84"
"2022 / 11","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Brooklyn","6,577","37.97"
"2022 / 11","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Bronx","482","564.32"
"2022 / 11","EMS","Average response time to life threatening medical emergencies by ambulance units","Bronx","10,014","684.74"
"2022 / 11","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Bronx","24,001","884.60"
"2022 / 11","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Bronx","4,828","29.08"
"2022 / 11","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Manhattan","504","524.33"
"2022 / 11","EMS","Average response time to life threatening medical emergencies by ambulance units","Manhattan","10,141","660.16"
"2022 / 11","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Manhattan","22,372","908.55"
"2022 / 11","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Manhattan","5,018","45.82"
"2022 / 11","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Queens","532","584.19"
"2022 / 11","EMS","Average response time to life threatening medical emergencies by ambulance units","Queens","9,027","672.07"
"2022 / 11","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Queens","20,715","770.00"
"2022 / 11","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Queens","4,480","30.51"
"2022 / 11","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Staten Island","138","526.06"
"2022 / 11","EMS","Average response time to life threatening medical emergencies by ambulance units","Staten Island","2,140","612.14"
"2022 / 11","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Staten Island","4,418","705.07"
"2022 / 11","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Staten Island","1,188","45.71"
"2022 / 11","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Unspecified","2","666.00"
"2022 / 11","EMS","Average response time to life threatening medical emergencies by ambulance units","Unspecified","25","903.72"
"2022 / 11","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Unspecified","76","976.38"
"2022 / 11","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Unspecified","13","23.08"
"2022 / 11","FDNY","Average response time to structural fires","Brooklyn","386","265.04"
"2022 / 11","FDNY","Average response time to non-structural fires","Brooklyn","196","334.21"
"2022 / 11","FDNY","Average response time to non-fire emergencies","Brooklyn","8,541","560.45"
"2022 / 11","FDNY","Average response time to life threatening medical emergencies by fire units","Brooklyn","4,403","511.00"
"2022 / 11","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Brooklyn","582","66.32"
"2022 / 11","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Brooklyn","582","32.13"
"2022 / 11","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Brooklyn","582","1.37"
"2022 / 11","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Brooklyn","582","0.17"
"2022 / 11","FDNY","Average response time to structural fires","Bronx","298","324.70"
"2022 / 11","FDNY","Average response time to non-structural fires","Bronx","122","399.93"
"2022 / 11","FDNY","Average response time to non-fire emergencies","Bronx","5,789","682.31"
"2022 / 11","FDNY","Average response time to life threatening medical emergencies by fire units","Bronx","2,301","647.79"
"2022 / 11","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Bronx","420","39.05"
"2022 / 11","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Bronx","420","58.57"
"2022 / 11","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Bronx","420","2.14"
"2022 / 11","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Bronx","420","0.24"
"2022 / 11","FDNY","Average response time to structural fires","Manhattan","231","299.01"
"2022 / 11","FDNY","Average response time to non-structural fires","Manhattan","171","439.61"
"2022 / 11","FDNY","Average response time to non-fire emergencies","Manhattan","5,901","631.48"
"2022 / 11","FDNY","Average response time to life threatening medical emergencies by fire units","Manhattan","2,590","627.11"
"2022 / 11","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Manhattan","402","38.81"
"2022 / 11","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Manhattan","402","57.71"
"2022 / 11","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Manhattan","402","2.74"
"2022 / 11","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Manhattan","402","0.75"
"2022 / 11","FDNY","Average response time to structural fires","Queens","206","316.92"
"2022 / 11","FDNY","Average response time to non-structural fires","Queens","181","404.08"
"2022 / 11","FDNY","Average response time to non-fire emergencies","Queens","5,780","620.49"
"2022 / 11","FDNY","Average response time to life threatening medical emergencies by fire units","Queens","2,910","550.35"
"2022 / 11","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Queens","387","38.24"
"2022 / 11","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Queens","387","58.40"
"2022 / 11","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Queens","387","2.33"
"2022 / 11","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Queens","387","1.03"
"2022 / 11","FDNY","Average response time to structural fires","Staten Island","35","300.94"
"2022 / 11","FDNY","Average response time to non-structural fires","Staten Island","42","362.55"
"2022 / 11","FDNY","Average response time to non-fire emergencies","Staten Island","1,429","555.99"
"2022 / 11","FDNY","Average response time to life threatening medical emergencies by fire units","Staten Island","809","504.00"
"2022 / 11","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Staten Island","77","48.05"
"2022 / 11","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Staten Island","77","48.05"
"2022 / 11","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Staten Island","77","3.90"
"2022 / 11","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Staten Island","77","0.00"
"2022 / 11","FDNY","Average response time to structural fires","Unspecified","1","337.00"
"2022 / 11","FDNY","Average response time to non-structural fires","Unspecified","1","596.00"
"2022 / 11","FDNY","Average response time to non-fire emergencies","Unspecified","38","759.34"
"2022 / 11","FDNY","Average response time to life threatening medical emergencies by fire units","Unspecified","5","731.80"
"2022 / 11","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Unspecified","2","0.00"
"2022 / 11","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Unspecified","2","100.00"
"2022 / 11","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Unspecified","2","0.00"
"2022 / 11","FDNY","Percentage of response time to structural and non-structural fires by fire units more than 20 minutes","Unspecified","2","0.00"
"2022 / 10","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Brooklyn","13,566","581.26"
"2022 / 10","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Bronx","11,023","688.48"
"2022 / 10","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Manhattan","11,625","630.63"
"2022 / 10","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Queens","9,957","622.84"
